Year,Region,Forest,CCF_Attainment,CCF_Offer,MBF_Attainment,MBF_Offer
2007,"03 R3, Southwestern Region",04 Coconino National Forest,41792.46,41792.46,21666.08,21666.08
2007,"03 R3, Southwestern Region",05 Coronado National Forest,497.91,497.91,315.3,315.3
2007,"03 R3, Southwestern Region",06 Gila National Forest,12601.68,16949.8,7293.24,9403.02
2007,"03 R3, Southwestern Region",07 Kaibab National Forest,28042.01,29552.51,14592.75,15286.08
2007,"03 R3, Southwestern Region",08 Lincoln National Forest,1721.37,1721.37,1089.49,1089.49
2007,"03 R3, Southwestern Region",09 Prescott National Forest,16202.94,16202.94,8830.38,8830.38
2007,"03 R3, Southwestern Region",10 Santa Fe National Forest,18236.97,17793.97,11360.02,11133.91
2007,"03 R3, Southwestern Region",12 Tonto National Forest,5859.41,6323.41,3305.06,3599.71
2007,"03 R3, Southwestern Region",Region Total,236102.23,242341.57,127278.79,130328.51
2007,"04 R4, Intermountain Region",01 Ashley National Forest,9970.43,20595.43,4206.37,8002.13
2007,"04 R4, Intermountain Region",02 Boise National Forest,25487.06,35041.4,13860.83,19199.46
2007,"04 R4, Intermountain Region",03 Bridger-Teton National Forest,20095.66,20746.13,10735.03,11072.16
2007,"04 R4, Intermountain Region",07 Dixie National Forest,24661.61,24677.61,12573.75,12582.87
2007,"04 R4, Intermountain Region",08 Fishlake National Forest,6076.3,5238.3,3265.16,2890.83
2007,"04 R4, Intermountain Region",10 Manti-Lasal National Forest,5019.11,7386.11,2802.5,3967.06
2007,"04 R4, Intermountain Region",12 Payette National Forest,57768.39,69351.89,31778.96,38385.43
2007,"04 R4, Intermountain Region",13 Salmon-Challis National Forest,11471.85,13755.0,5378.38,6394.97
2007,"04 R4, Intermountain Region",14 Sawtooth National Forest,7968.61,9625.61,4479.58,5367.07
2007,"04 R4, Intermountain Region",15 Caribou/Targhee National Forest,9877.39,15823.9,5635.36,8524.34
2007,"04 R4, Intermountain Region",17 Humboldt & Toiy National Forest,4727.2,4727.2,2717.27,2717.27
2007,"04 R4, Intermountain Region",18 Uinta National Forest,3895.96,3895.96,2179.74,2179.74
